Account Number,Account Source,Annual Revenue,State Code,Country Code,Channel Program Name,Industry,Name,Number of employees,Ownership,Rating,Site,Type,Year Started,Total Opportunity Amount,First Sale Date,Last Sale Date,Average Sales Cycle ,Number of Renewals,Num Opportunities Won,Num Opportunities Lost
14,4,$281648.25,CA,US,2,,"O'Hara, Klein and Corkery",24403,3,3,US,6,1925,391230,2/25/2016,4/24/2018,88,2,4,2
15,1,$585404.25,MD,US,2,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Barton-Haley,80755,3,3,US,2,1988,351306,3/31/2015,09-06-2018,33,5,5,4
16,3,$672190.50,FL,US,2,Major Pharmaceuticals,MacGyver Group,21794,2,1,US,4,1945,849549,5/27/2017,6/13/2018,74,3,4,1
17,1,$344294.73,TX,US,3,Biotechnology: Biological Products (No Diagnostic Substances),"Goldner, Mann and Johnston",37300,2,1,US,3,1915,903204,11/14/2017,03-06-2018,39,5,3,4
18,5,$53845.05,CT,US,2,,Mayer-Casper,99513,3,3,US,7,1998,267844,05-03-2017,02-04-2018,69,2,3,2
19,2,$825026.93,AK,US,2,Electronic Components,Stokes-Kreiger,16579,2,1,US,1,1942,840006,10/14/2016,10/24/2018,60,4,2,4
20,4,$211572.75,CA,US,3,,Thompson-Heidenreich,18688,2,1,US,7,1970,327351,10-11-2015,09-02-2018,86,3,3,4
21,4,$160597.79,CA,US,2,Real Estate Investment Trusts,Prohaska Inc,38026,4,3,US,5,1950,62740,1/25/2018,4/18/2018,79,2,3,3
22,3,$790228.16,MT,US,2,,Gerlach-Ernser,79131,3,1,US,5,1916,951339,8/15/2017,5/28/2018,30,3,3,2
23,1,$503917.70,TX,US,3,,Schimmel LLC,20733,1,1,US,1,1966,454929,04-11-2017,11/23/2018,85,5,3,5
24,2,$301197.80,CT,US,2,,Wilkinson-Metz,78755,2,2,US,4,1926,840754,9/30/2015,05-12-2018,58,5,5,3
25,1,$114800.63,MN,US,2,EDP Services,"Frami, Sanford and Stanton",26440,3,3,US,2,1930,156073,2/26/2015,05-07-2018,81,1,5,2
26,4,$872954.85,CA,US,3,,"Nikolaus, Waelchi and Maggio",53803,1,3,US,5,1935,55249,01-09-2016,6/17/2018,41,3,4,3
27,1,$424713.71,NY,US,2,Major Banks,"Ratke, Paucek and D'Amore",10889,1,2,US,1,1961,147850,12-04-2017,06-07-2018,43,4,1,4
28,4,$749268.43,AL,US,2,Restaurants,"Gutmann, Quigley and O'Hara",47504,2,3,US,4,1968,418539,8/19/2017,11-10-2018,68,4,2,4
29,5,$625274.00,OK,US,2,,Wiegand-Hyatt,1819,1,3,US,3,1961,408838,11/20/2015,9/30/2018,65,4,1,4
30,2,$876455.26,GA,US,3,Industrial Machinery/Components,"Farrell, Heidenreich and Barton",87835,1,1,US,2,1984,798521,07-09-2015,8/27/2018,40,3,5,5
31,1,$972272.05,CA,US,3,Biotechnology: Biological Products (No Diagnostic Substances),Barton Group,49746,1,3,US,5,1902,429301,9/13/2017,9/25/2018,37,4,1,5
32,3,$24463.96,LA,US,3,,Batz-Herzog,42988,3,3,US,3,1998,747540,3/15/2015,12-10-2018,80,5,1,2
33,1,$65588.37,OH,US,3,Ordnance And Accessories,Hickle-Cummings,52496,3,3,US,3,1908,49726,5/26/2017,11/22/2018,42,2,1,3
34,2,$234473.44,TX,US,2,,Wunsch Inc,50887,3,2,US,6,1917,52631,05-12-2017,7/29/2018,70,5,2,4
35,2,$808273.97,TN,US,2,,Ziemann Inc,69359,3,2,US,7,1948,611340,02-07-2017,02-09-2018,48,3,5,2
36,4,$660526.13,TX,US,3,EDP Services,Zboncak-Bradtke,2366,2,3,US,7,1958,76580,8/24/2016,2/26/2018,59,4,4,3
37,4,$536018.03,HI,US,3,EDP Services,"Fay, McLaughlin and Langworth",99957,1,1,US,6,1900,222078,9/18/2016,05-02-2018,45,5,4,4
38,2,$117411.10,WI,US,3,Homebuilding,"Lind, Paucek and Weimann",43210,2,3,US,6,1974,818991,06-10-2017,1/23/2019,70,5,4,5
39,1,$100128.44,CA,US,3,Natural Gas Distribution,Harris Inc,99701,1,3,US,3,1965,611163,10/18/2017,3/31/2018,75,3,4,4
40,2,$79294.33,MN,US,2,,"Larson, Brekke and Mueller",51222,2,1,US,3,1990,793976,09-07-2017,08-05-2018,65,5,5,1
41,1,$178653.47,KY,US,2,Other Consumer Services,Waelchi-Terry,50754,1,3,US,2,1917,473693,01-08-2018,4/28/2018,61,4,5,3
42,2,$427717.90,MA,US,3,Hotels/Resorts,McLaughlin LLC,98617,3,2,US,2,1976,369606,08-02-2015,7/29/2018,65,4,4,4
43,3,$592310.21,FL,US,2,,O'Connell-Johnson,91976,4,3,US,6,1998,400991,5/13/2017,01-03-2019,41,4,2,4
44,3,$8411.14,TN,US,3,,"Fritsch, Ruecker and Reichel",48146,3,2,US,5,1950,110740,04-03-2017,12/17/2018,85,4,2,3
45,2,$766742.31,MI,US,3,Construction/Ag Equipment/Trucks,"Gislason, McKenzie and Wilkinson",96961,3,3,US,3,1913,825603,02-05-2017,6/22/2018,89,2,5,1
46,1,$466234.02,FL,US,3,,"Morar, Labadie and Kemmer",10801,3,1,US,3,1958,224780,07-05-2017,8/13/2018,41,3,5,2
47,3,$850384.74,CA,US,4,Biotechnology: Biological Products (No Diagnostic Substances),Bergstrom-Ward,79676,3,1,US,4,1981,78262,10/29/2015,10-01-2018,78,1,2,3
48,1,$992376.61,CA,US,3,Television Services,Kerluke-Ernser,5086,2,3,US,7,1952,243719,10/27/2016,3/27/2018,53,3,2,1
49,4,$421394.13,CA,US,2,,Balistreri and Sons,62690,4,1,US,7,1912,717053,6/29/2017,06-02-2018,58,2,2,4
50,2,$599228.99,TX,US,2,Major Banks,Beatty and Sons,68368,3,2,US,1,1904,666501,2/15/2017,3/26/2018,50,4,1,4
51,1,$639496.98,DC,US,2,Major Banks,"Reinger, Dickinson and Bergstrom",55800,2,1,US,5,1963,953997,12/16/2015,7/22/2018,64,4,2,3
52,5,$407083.47,MA,US,3,Major Banks,Ernser-Upton,68654,1,1,US,3,1994,930255,8/19/2016,07-02-2018,48,4,4,2
53,4,$372311.44,CA,US,2,,Bogan and Sons,7222,1,1,US,7,1934,700201,10-01-2015,9/24/2018,85,1,2,5
54,2,$84778.88,TX,US,2,Semiconductors,Bradtke Group,19306,4,1,US,4,1910,550964,12/17/2017,3/18/2018,44,2,5,3
55,2,$1976.88,NJ,US,3,Major Banks,Jacobson and Sons,4217,1,3,US,1,1922,871816,8/30/2015,3/26/2018,35,2,5,1
56,2,$159833.51,FL,US,2,Biotechnology: Commercial Physical & Biological Resarch,"Luettgen, Hayes and Altenwerth",89968,2,2,US,3,1994,600555,11/24/2016,12/16/2018,69,1,3,2
57,2,$506221.01,OH,US,3,Restaurants,"King, Gutkowski and Beatty",24410,1,2,US,4,1983,921015,7/16/2017,09-09-2018,55,2,4,5
58,3,$686632.30,SC,US,2,,Collins and Sons,86514,1,2,US,6,1977,792760,7/28/2016,09-09-2018,62,1,5,2
59,4,$96771.19,OR,US,2,Other Consumer Services,"Hand, Schneider and Rosenbaum",98928,2,1,US,6,1946,671766,5/19/2017,6/30/2018,74,4,4,2
60,2,$629380.96,CA,US,3,,Heaney-King,12063,1,1,US,4,1921,230554,11/17/2017,5/18/2018,58,2,2,5
61,5,$361228.24,VA,US,2,Clothing/Shoe/Accessory Stores,Dibbert-Harvey,51457,2,1,US,6,1932,715783,4/21/2017,7/13/2018,83,5,1,3
62,4,$189409.26,LA,US,3,Clothing/Shoe/Accessory Stores,Kertzmann Group,21885,3,1,US,6,1917,993977,4/23/2017,1/30/2019,49,4,1,2
63,2,$838733.41,GA,US,2,Industrial Specialties,"Ratke, Adams and Hahn",41293,3,1,US,2,1905,628818,11/15/2017,10/16/2018,75,2,3,5
64,2,$121368.37,TX,US,3,,Flatley-Kovacek,36917,3,1,US,5,1996,485245,07-01-2017,09-10-2018,58,3,4,4
65,3,$875370.45,ND,US,3,Industrial Machinery/Components,Rodriguez-Franecki,3485,1,2,US,4,1915,755356,11/20/2016,3/13/2018,69,2,5,4
66,2,$674175.67,FL,US,2,Major Banks,Hamill-Heller,42722,4,1,US,4,1920,190843,03-04-2016,9/29/2018,79,2,3,3
67,3,$326350.33,MI,US,3,Movies/Entertainment,Graham-Dicki,66657,2,2,US,1,1901,417295,11/26/2015,06-08-2018,64,4,5,3
68,4,$880160.27,MO,US,2,Computer Communications Equipment,"Parker, Luettgen and Zieme",96729,2,1,US,2,1913,102183,12-10-2016,3/23/2018,56,2,1,2
69,4,$303776.47,CA,US,3,Broadcasting,VonRueden Inc,6576,4,3,US,7,1938,70480,02-02-2018,05-07-2018,67,5,3,5
70,1,$818957.22,MA,US,3,,"Haag, Beatty and Erdman",36829,3,3,US,6,1961,785342,05-02-2017,07-02-2018,63,1,5,1
71,1,$287569.00,CO,US,2,,"Breitenberg, Sauer and Zulauf",62666,4,3,US,1,1942,830954,02-03-2017,08-12-2018,55,5,2,1
72,5,$806229.24,PA,US,3,Services-Misc. Amusement & Recreation,"Gaylord, Marks and Pouros",16822,4,2,US,7,1914,378226,10/13/2015,1/29/2019,57,4,1,5
73,4,$934812.99,GA,US,3,Other Consumer Services,"Cartwright, Oberbrunner and Bradtke",63940,2,3,US,4,1918,655715,12-11-2015,9/14/2018,50,4,2,3
74,1,$478249.18,OK,US,3,Telecommunications Equipment,"McDermott, Kemmer and Bernier",83569,4,2,US,2,1964,654208,01-10-2018,8/28/2018,38,5,3,2
75,4,$238982.76,CT,US,1,Ordnance And Accessories,"Dare, Fahey and Raynor",46527,4,2,US,6,1959,55271,9/23/2017,1/20/2019,41,5,3,1
76,5,$388899.38,TN,US,3,Hospital/Nursing Management,Windler Inc,85302,1,1,US,5,1981,83459,12-04-2015,07-12-2018,66,3,4,1
77,1,$843851.53,NJ,US,3,Real Estate Investment Trusts,Eichmann and Sons,48860,3,2,US,2,1946,609139,08-07-2015,6/28/2018,81,5,3,5
78,2,$969327.85,CA,US,3,Major Banks,Hartmann-Buckridge,18398,2,3,US,4,1980,814666,5/23/2017,5/29/2018,65,1,1,4
79,1,$967041.53,NE,US,3,Major Pharmaceuticals,Luettgen and Sons,80361,1,1,US,4,1914,761673,11/24/2015,9/15/2018,30,1,4,3
80,2,$933305.90,CT,US,2,Fluid Controls,"Waelchi, Marvin and Armstrong",733,2,1,US,3,1954,328929,05-01-2017,1/27/2019,30,1,5,5
81,5,$680482.54,OH,US,3,,"Boyle, Mueller and Boyle",37374,4,2,US,1,1977,984610,4/25/2015,06-04-2018,67,5,3,4
82,4,$233840.36,FL,US,3,Radio And Television Broadcasting And Communications Equipment,Lakin-Hintz,58766,3,3,US,2,1945,128193,3/26/2017,8/24/2018,61,5,1,4
83,2,$228990.11,MD,US,3,,Okuneva-Ebert,89689,2,1,US,4,1922,653747,04-05-2016,7/20/2018,87,2,3,4
84,1,$337186.87,PA,US,2,,Fisher-Mayer,26218,1,2,US,1,1910,472707,02-07-2016,3/24/2018,33,1,3,4
85,4,$385436.70,VA,US,2,Department/Specialty Retail Stores,Stroman and Sons,7608,2,2,US,5,1961,843236,9/20/2017,2/15/2018,79,4,2,3
86,2,$905600.02,GA,US,3,Telecommunications Equipment,Bechtelar Inc,70014,4,3,US,1,1959,458152,12-04-2015,12/15/2018,71,5,3,3
87,5,$997463.93,CA,US,3,,Wilkinson-Corkery,77379,1,3,US,2,1970,631196,8/22/2017,12-12-2018,75,2,5,4
88,5,$911684.83,FL,US,3,Major Pharmaceuticals,Wiegand-Schmidt,21516,2,1,US,1,1960,962510,08-12-2017,12-12-2018,44,4,3,1
89,4,$269293.83,CA,US,2,Specialty Insurers,Jacobson-Predovic,69477,4,2,US,1,1940,785190,08-11-2015,7/20/2018,57,5,1,5
90,3,$209262.73,KS,US,2,,"Shanahan, Schuster and Runolfsson",31177,2,2,US,3,1921,320137,1/27/2018,05-12-2018,74,5,1,2
91,1,$972781.44,AZ,US,3,Power Generation,Konopelski-Medhurst,67602,4,1,US,7,1983,102515,01-08-2018,03-11-2018,61,2,4,4
92,1,$899362.13,IL,US,3,Transportation Services,"Cassin, Cummings and Powlowski",15533,1,1,US,3,1919,624788,03-07-2016,3/21/2018,89,3,2,3
93,5,$321146.58,NV,US,3,Electrical Products,"Conn, Mante and Mayert",17227,3,1,US,5,1950,442294,11/14/2017,07-10-2018,76,3,1,4
94,1,$143122.83,TX,US,3,Agricultural Chemicals,Bahringer-Grady,46177,3,2,US,4,1941,137493,02-07-2015,11/19/2018,36,1,5,1
95,3,$323806.56,LA,US,3,Medical/Dental Instruments,Zemlak and Sons,73207,2,2,US,4,1998,159049,01-11-2017,9/27/2018,54,1,5,2
96,2,$825021.33,WI,US,2,Medical/Dental Instruments,Kuhic and Sons,19231,3,3,US,4,1960,139542,06-10-2016,11-07-2018,49,3,5,3
97,4,$18913.09,NC,US,2,Real Estate Investment Trusts,"Bergstrom, Leffler and Bergstrom",74305,4,3,US,7,1991,506554,8/21/2017,4/21/2018,61,2,2,4
98,3,$135319.54,IL,US,3,,Hilpert Group,3357,3,3,US,2,1912,166519,08-03-2016,08-07-2018,43,3,3,4
99,5,$979142.32,FL,US,2,Major Banks,Lowe-Dooley,48055,2,1,US,1,1966,634581,4/22/2016,07-07-2018,72,5,3,2
100,5,$155670.30,DC,US,2,Real Estate Investment Trusts,Hettinger-Hilll,21711,3,2,US,2,1921,822023,07-11-2017,03-10-2018,70,1,1,4
101,2,$530773.42,CO,US,2,Broadcasting,"Beier, Block and O'Conner",57538,4,3,US,5,1961,672469,02-05-2017,08-11-2018,83,5,1,4
102,5,$415104.70,TN,US,2,,Abshire-Hahn,86575,1,1,US,6,1919,70616,09-09-2015,5/22/2018,77,4,2,3
103,1,$524679.62,LA,US,3,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Luettgen-Jaskolski,32986,3,3,US,2,1959,294611,8/18/2015,5/24/2018,58,2,2,3
104,2,$701680.81,TX,US,3,,Jacobi Group,69810,2,2,US,2,1926,259740,06-10-2015,07-11-2018,65,2,4,3
105,5,$670158.70,NY,US,2,Package Goods/Cosmetics,Bernhard-Funk,4394,3,2,US,7,1965,924092,8/28/2015,04-02-2018,76,3,3,5
106,5,$393276.60,PA,US,2,,Lebsack Group,79129,1,3,US,3,1940,229906,11/15/2016,5/22/2018,82,1,4,5
107,3,$720859.15,MI,US,2,,Smitham-Buckridge,35830,3,1,US,5,1921,289810,5/20/2016,5/18/2018,40,1,2,3
108,2,$526250.65,PA,US,2,RETAIL: Building Materials,Cruickshank and Sons,5068,4,3,US,2,1901,273310,10/18/2017,3/19/2018,52,4,5,4
109,5,$308873.63,MO,US,3,Real Estate Investment Trusts,"Zieme, Blanda and Larson",91146,1,1,US,1,1965,795872,12-01-2016,1/19/2019,35,4,5,1
110,2,$264727.52,AL,US,2,Savings Institutions,"Schoen, Auer and Emmerich",46018,4,3,US,4,1985,906865,12/24/2017,12-04-2018,31,4,1,2
111,2,$950499.70,CA,US,2,Restaurants,Paucek-Blick,42745,4,2,US,3,1983,960593,6/17/2017,7/19/2018,57,1,5,3
112,3,$827406.70,CA,US,3,EDP Services,Eichmann and Sons,82195,1,3,US,7,1925,327483,11/22/2016,4/17/2018,49,1,3,1
113,4,$959253.70,PA,US,3,Multi-Sector Companies,"Ryan, Bernier and Gleason",37591,2,2,US,1,1940,571654,05-07-2015,04-12-2018,85,4,3,2
114,5,$167391.06,MI,US,3,,Will Inc,89128,1,1,US,1,1982,148400,10-05-2016,06-07-2018,41,2,2,5
115,1,$670310.28,FL,US,3,,Zboncak Inc,77549,3,1,US,6,1963,326728,03-10-2017,10/30/2018,52,2,1,3
116,2,$805365.22,KS,US,2,Computer Software: Prepackaged Software,Beier-Ferry,43294,3,3,US,2,1982,544659,03-02-2017,7/22/2018,78,3,5,1
117,1,$493579.27,OH,US,3,Computer Communications Equipment,"Brakus, Auer and Kirlin",55236,1,1,US,5,1994,993701,09-02-2017,07-11-2018,65,2,1,2
118,4,$653646.48,CO,US,3,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Cremin-Dickinson,92190,1,2,US,4,1910,380641,04-12-2017,9/25/2018,77,1,3,4
119,5,$26515.19,KS,US,3,,Tillman-Emmerich,18333,3,2,US,5,1913,822704,3/28/2015,08-04-2018,37,5,1,2
120,5,$667125.02,NY,US,2,Telecommunications Equipment,"Rippin, Kozey and Dare",46703,1,2,US,1,1912,819914,06-08-2015,09-01-2018,61,2,2,4
121,2,$387112.61,TX,US,2,,Friesen-Marks,11277,1,1,US,1,1959,917232,4/17/2017,2/13/2018,47,2,1,3
122,3,$759624.30,FL,US,2,Biotechnology: Biological Products (No Diagnostic Substances),Greenholt Inc,13903,2,3,US,7,1958,809166,03-01-2017,03-09-2018,36,1,4,1
123,1,$369587.45,MI,US,3,Industrial Machinery/Components,Labadie and Sons,58416,1,3,US,1,1981,41960,2/24/2016,3/24/2018,79,5,1,3
124,2,$277615.20,MT,US,3,Recreational Products/Toys,"Bogisich, Shields and Ortiz",96388,3,2,US,7,1909,713564,3/22/2016,6/18/2018,71,5,5,3
125,4,$557701.56,IN,US,3,,Collins-Hudson,56523,1,3,US,2,1903,149291,1/13/2018,03-05-2018,46,3,3,1
126,1,$853218.39,MI,US,3,,"Emmerich, Pouros and Howell",10200,1,2,US,7,1955,534149,9/26/2016,02-10-2018,74,2,3,2
127,5,$63177.33,GA,US,2,Auto Parts:O.E.M.,Brown-Zemlak,85362,2,1,US,5,1963,390462,06-06-2015,5/14/2018,56,5,4,5
128,5,$190892.11,DC,US,2,,"Zboncak, Kutch and Becker",97893,4,1,US,5,1955,62543,6/14/2016,7/18/2018,84,3,4,3
129,5,$764090.13,CA,US,3,Restaurants,"Rosenbaum, Block and Heaney",72243,2,2,US,2,1938,145688,07-07-2017,04-10-2018,42,3,1,5
130,4,$195025.75,MN,US,3,Oil & Gas Production,Rogahn Inc,88186,4,1,US,3,1923,333429,2/29/2016,06-07-2018,77,3,5,2
131,2,$563700.60,MD,US,3,Rental/Leasing Companies,Rolfson-West,59311,2,2,US,3,1986,237159,4/19/2017,09-09-2018,72,5,3,4
132,2,$781054.78,CA,US,3,Homebuilding,Harvey LLC,9421,1,2,US,2,1903,822835,6/14/2016,01-10-2019,61,5,3,3
133,4,$566347.86,TN,US,3,,"West, Turcotte and Bernier",34081,4,2,US,7,1983,37776,9/28/2015,4/27/2018,85,4,2,2
134,2,$739376.85,MN,US,2,EDP Services,"Beahan, Kirlin and Pfannerstill",50200,1,1,US,7,1965,128553,1/27/2018,2/17/2018,44,4,1,2
135,3,$657275.19,LA,US,2,Real Estate Investment Trusts,Spencer Group,62822,3,2,US,3,1951,245975,12-02-2017,06-01-2018,89,3,3,2
136,2,$636161.98,DC,US,3,,Rath LLC,35491,4,2,US,4,1952,719401,12-10-2017,01-12-2019,59,4,1,1
137,3,$477361.02,NY,US,2,,Casper and Sons,22466,2,1,US,7,1984,999558,6/24/2017,5/27/2018,66,4,2,2
138,1,$664621.09,TX,US,3,,Funk Inc,92003,1,3,US,6,1924,573773,12/29/2016,1/20/2019,63,1,5,4
139,2,$298000.58,GA,US,2,Real Estate Investment Trusts,Moore and Sons,74733,4,1,US,6,1911,454470,1/15/2017,11-03-2018,80,1,4,5
140,4,$845347.49,MA,US,3,Metal Fabrications,"Bergstrom, Bode and Lueilwitz",86542,4,2,US,6,1966,179479,5/18/2015,08-07-2018,34,5,5,1
141,2,$655989.14,WV,US,3,Major Banks,Volkman-McKenzie,49786,2,3,US,1,1943,337526,01-11-2016,1/16/2019,66,3,3,4
142,4,$83376.39,MA,US,3,Semiconductors,Flatley-Pagac,74915,3,2,US,1,1916,453812,12/18/2017,10-04-2018,33,1,5,2
143,1,$789714.17,PA,US,3,Medical/Dental Instruments,Schinner Inc,83294,1,1,US,1,1943,681450,09-07-2016,1/22/2019,63,4,4,4
144,2,$776318.02,MO,US,3,Electric Utilities: Central,"Weber, Barrows and Cormier",39117,2,2,US,1,1978,413562,09-02-2016,03-12-2018,67,3,2,2
145,1,$940778.53,MD,US,2,Oilfield Services/Equipment,Effertz Inc,46402,2,2,US,3,1914,287330,03-01-2015,7/15/2018,90,2,4,1
146,4,$301878.84,IL,US,2,,Gutmann-Williamson,46084,1,2,US,2,1935,319078,12/29/2017,3/20/2018,45,5,2,2
147,5,$331462.39,AL,US,3,Major Pharmaceuticals,"Dietrich, Luettgen and Zulauf",91204,2,3,US,6,1928,963467,12-04-2016,5/29/2018,87,4,2,3
148,5,$89010.43,DC,US,2,Finance: Consumer Services,Hansen LLC,40585,3,2,US,1,1931,923779,12-05-2017,4/30/2018,78,2,5,1
149,2,$117406.14,VA,US,3,Semiconductors,"Eichmann, Koelpin and Monahan",56783,3,3,US,3,1971,455831,9/23/2015,6/15/2018,53,2,1,5
150,1,$846902.77,MN,US,3,Other Consumer Services,"Jacobson, Armstrong and Altenwerth",14268,4,3,US,1,1997,111025,10-06-2017,1/22/2019,73,5,2,2
151,3,$11997.34,NC,US,2,Major Pharmaceuticals,Rice LLC,94267,4,2,US,3,1936,383616,02-06-2015,12/30/2018,39,3,2,4
152,3,$501048.39,CA,US,3,Savings Institutions,Little LLC,77011,1,2,US,7,1937,172414,2/26/2016,6/30/2018,60,1,5,3
153,2,$818652.82,TN,US,3,Real Estate Investment Trusts,"Littel, Kuphal and Haag",40177,1,1,US,6,1968,137629,5/31/2015,1/25/2019,78,4,1,4
154,4,$434635.04,MO,US,2,Property-Casualty Insurers,"Blanda, Spinka and Fritsch",87986,4,3,US,6,1920,560779,2/15/2015,9/15/2018,60,2,3,3
155,5,$69655.40,FL,US,2,Medical/Dental Instruments,"Bosco, Erdman and Kshlerin",84755,4,1,US,7,1997,779190,9/14/2017,5/31/2018,43,5,1,3
156,5,$345085.36,CT,US,3,Farming/Seeds/Milling,"Kling, Nolan and Conn",46221,2,1,US,2,1912,271788,10/30/2016,07-01-2018,65,5,3,1
157,2,$463105.86,ID,US,2,EDP Services,Jones Inc,29781,1,3,US,2,1919,838605,6/19/2016,04-12-2018,76,1,4,2
158,1,$557226.71,CT,US,2,Real Estate Investment Trusts,"McGlynn, Mitchell and Murazik",6732,2,3,US,5,1991,121350,2/14/2017,01-11-2019,34,2,5,1
159,3,$487706.03,TX,US,3,Business Services,Conn LLC,54973,3,2,US,1,1991,554937,06-06-2016,10/21/2018,81,2,4,5
160,1,$55950.80,CA,US,2,Package Goods/Cosmetics,"Nikolaus, Homenick and Luettgen",98196,4,2,US,7,1997,18943,03-03-2015,9/24/2018,64,4,1,1
161,2,$224451.49,CA,US,2,Home Furnishings,Nolan-Ratke,75075,3,3,US,5,1919,120585,3/25/2017,1/24/2019,39,2,2,5
162,1,$961698.88,FL,US,3,,Morissette-Lowe,17248,3,1,US,6,1905,225984,1/16/2016,03-11-2018,83,3,4,4
163,5,$759471.41,MA,US,2,Real Estate Investment Trusts,Botsford LLC,53771,4,3,US,1,1963,70206,2/27/2017,07-08-2018,69,3,2,3
164,1,$628703.85,AR,US,3,,Kilback LLC,59227,3,3,US,1,1900,427791,02-04-2017,12/22/2018,34,1,1,3
165,5,$530056.92,FL,US,2,Commercial Banks,O'Conner-Ratke,83055,1,2,US,5,1984,845755,4/19/2015,7/26/2018,57,4,1,5
166,4,$690753.55,CA,US,2,Major Pharmaceuticals,Hoeger LLC,31528,4,3,US,4,2000,332776,4/25/2015,11-11-2018,86,3,1,1
167,4,$50714.54,NY,US,2,Precious Metals,Littel-Beier,50374,2,2,US,2,1940,725253,9/15/2016,11-04-2018,49,3,2,1
168,4,$677840.82,OH,US,2,,Champlin-Langworth,57309,2,1,US,6,1965,603859,8/14/2015,10/15/2018,68,1,3,5
169,3,$231222.19,CT,US,2,Major Pharmaceuticals,Denesik Inc,11985,2,1,US,7,1972,571123,09-09-2016,02-03-2019,39,1,5,3
170,2,$495737.22,KS,US,2,Services-Misc. Amusement & Recreation,"Simonis, White and Schamberger",96814,1,1,US,2,1998,262969,12/21/2016,6/21/2018,78,1,3,1
171,4,$793346.00,TX,US,2,,Rodriguez-Zemlak,74766,2,1,US,4,1992,560994,3/21/2015,1/29/2019,48,3,4,4
172,1,$7970.48,AK,US,3,Agricultural Chemicals,Parker LLC,87725,1,1,US,3,1904,712311,9/21/2017,7/25/2018,48,3,4,2
173,4,$959182.54,MN,US,2,Biotechnology: Biological Products (No Diagnostic Substances),Gleason-Botsford,62756,2,2,US,5,1940,649603,1/14/2018,3/28/2018,34,3,4,5
174,2,$885847.42,FL,US,3,,"Schimmel, Wiza and Douglas",27575,2,1,US,3,1946,545140,12/26/2016,11/18/2018,32,4,1,3
175,5,$746779.62,NJ,US,2,Real Estate Investment Trusts,"Hauck, Weissnat and Connelly",36451,3,2,US,5,1946,929503,2/25/2016,1/22/2019,54,5,2,2
176,5,$193943.76,MN,US,3,Electric Utilities: Central,Schultz-White,29648,1,3,US,4,1953,797366,08-09-2015,5/27/2018,58,1,2,3
177,1,$386430.78,AZ,US,2,Home Furnishings,"Schultz, Klein and Bernhard",47508,3,3,US,7,1986,203582,05-09-2015,10-11-2018,31,2,4,5
178,4,$521329.76,MI,US,3,Farming/Seeds/Milling,Nitzsche Group,51259,1,2,US,5,1975,953584,11/18/2015,08-11-2018,35,2,5,4
179,5,$250118.36,CA,US,2,,Kuhn-Rippin,34885,1,1,US,4,1974,938531,11/29/2016,11/21/2018,34,5,3,2
